Package,Value,Rotation,LCSC Part Number
Crystal_SMD_3225-4Pin_3.2x2.5mm,16 MHz,0,C13738
D_SOD-123,4148,0,C81598
HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,0,C165948
LQFP-48_7x7mm_P0.5mm,STM32F072C8T6,0,C80488
R_0603_1608Metric,0.1 µF,0,C14663
R_0603_1608Metric,1 µF,0,C15849
R_0603_1608Metric,10 kΩ,0,C25803
R_0603_1608Metric,10 µF,0,C19702
R_0603_1608Metric,22 pF,0,C1653
R_0603_1608Metric,5.1 kΩ,0,C23186
SOT-143,SR05,180,C521962
SOT-23,MCP1700T-3302E/TT,0,C5446
TQFP-44_10x10mm_P0.8mm,ATMEGA32U4-AU,90,C44854
